unix,date,symbol,open,high,low,close,volume ETH,volume USDT,tradecount
1646103600000,2022-03-01 03:00:00,ETH/USDT,2917.23000000,2918.07000000,2889.50000000,2911.83000000,20920.35740000,60735759.91390000,49278
1646100000000,2022-03-01 02:00:00,ETH/USDT,2917.06000000,2921.54000000,2904.38000000,2917.23000000,18274.70630000,53258581.99694500,46006
1646096400000,2022-03-01 01:00:00,ETH/USDT,2947.68000000,2950.00000000,2913.45000000,2917.06000000,23023.63150000,67425846.17525500,50608
1646092800000,2022-03-01 00:00:00,ETH/USDT,2920.83000000,2974.30000000,2920.54000000,2947.68000000,50968.32920000,150277756.11604800,91005
1646089200000,2022-02-28 23:00:00,ETH/USDT,2897.25000000,2924.71000000,2893.05000000,2920.95000000,33888.63420000,98548690.52834100,48178
1646085600000,2022-02-28 22:00:00,ETH/USDT,2820.56000000,2951.60000000,2819.78000000,2897.24000000,65710.93220000,190268218.22380500,155152
1646082000000,2022-02-28 21:00:00,ETH/USDT,2834.60000000,2835.00000000,2808.89000000,2820.55000000,12952.65640000,36539880.43637100,25546
1646078400000,2022-02-28 20:00:00,ETH/USDT,2808.24000000,2838.97000000,2796.08000000,2834.60000000,22929.05740000,64699892.84353300,43333
1646074800000,2022-02-28 19:00:00,ETH/USDT,2808.26000000,2809.97000000,2790.01000000,2808.25000000,14173.39100000,39672050.72015700,26823
1646071200000,2022-02-28 18:00:00,ETH/USDT,2822.49000000,2824.23000000,2796.04000000,2808.26000000,18485.70320000,51927568.32090600,34192
1646067600000,2022-02-28 17:00:00,ETH/USDT,2811.56000000,2822.79000000,2789.00000000,2822.49000000,38518.34360000,107943886.39393800,51718
1646064000000,2022-02-28 16:00:00,ETH/USDT,2815.44000000,2830.77000000,2797.13000000,2811.30000000,57277.45310000,161303099.29348900,74213
1646060400000,2022-02-28 15:00:00,ETH/USDT,2757.65000000,2829.99000000,2738.14000000,2815.44000000,76301.26600000,213099314.89983000,112846
1646056800000,2022-02-28 14:00:00,ETH/USDT,2617.57000000,2763.15000000,2616.01000000,2757.65000000,98255.65360000,265191852.78803200,111667
1646053200000,2022-02-28 13:00:00,ETH/USDT,2635.17000000,2640.66000000,2607.38000000,2617.56000000,19329.12700000,50709130.98219300,33441
1646049600000,2022-02-28 12:00:00,ETH/USDT,2640.55000000,2665.79000000,2626.26000000,2635.17000000,22281.60420000,58994533.50161200,37118
1646046000000,2022-02-28 11:00:00,ETH/USDT,2640.28000000,2646.97000000,2621.40000000,2640.54000000,10942.40770000,28850829.41318500,21717
1646042400000,2022-02-28 10:00:00,ETH/USDT,2612.40000000,2647.60000000,2611.48000000,2640.28000000,13700.43670000,36047321.79355200,25331
1646038800000,2022-02-28 09:00:00,ETH/USDT,2625.34000000,2642.58000000,2612.36000000,2612.39000000,13837.92460000,36412200.59690000,28080
1646035200000,2022-02-28 08:00:00,ETH/USDT,2635.32000000,2658.00000000,2617.00000000,2625.34000000,19087.86200000,50328140.77740400,36982
1646031600000,2022-02-28 07:00:00,ETH/USDT,2606.50000000,2653.75000000,2598.12000000,2635.32000000,29038.73500000,76341969.70662500,46901
1646028000000,2022-02-28 06:00:00,ETH/USDT,2610.14000000,2630.92000000,2568.62000000,2606.50000000,37473.63300000,97462444.32399500,60969
1646024400000,2022-02-28 05:00:00,ETH/USDT,2611.02000000,2624.12000000,2603.08000000,2610.14000000,13318.59270000,34819286.09550200,24411
1646020800000,2022-02-28 04:00:00,ETH/USDT,2608.05000000,2632.99000000,2602.20000000,2611.03000000,12625.95740000,33027606.17697600,27136
1646017200000,2022-02-28 03:00:00,ETH/USDT,2612.66000000,2620.77000000,2599.77000000,2608.05000000,13132.68010000,34281254.68605200,27876
1646013600000,2022-02-28 02:00:00,ETH/USDT,2643.82000000,2653.55000000,2592.29000000,2612.67000000,26263.98560000,68848985.83886000,41969
1646010000000,2022-02-28 01:00:00,ETH/USDT,2605.72000000,2680.00000000,2604.71000000,2643.84000000,37865.75820000,100377112.39203900,60817
1646006400000,2022-02-28 00:00:00,ETH/USDT,2616.79000000,2625.79000000,2590.00000000,2605.72000000,26402.65390000,68796882.10497700,47458
1646002800000,2022-02-27 23:00:00,ETH/USDT,2630.09000000,2632.97000000,2579.74000000,2616.79000000,42353.00010000,110430105.87538000,62687
1645999200000,2022-02-27 22:00:00,ETH/USDT,2602.87000000,2639.67000000,2595.26000000,2630.09000000,20177.19970000,52826712.07868100,51461
1645995600000,2022-02-27 21:00:00,ETH/USDT,2633.91000000,2637.84000000,2557.98000000,2602.86000000,51486.62130000,133710999.62289100,87616
1645992000000,2022-02-27 20:00:00,ETH/USDT,2608.23000000,2659.97000000,2586.00000000,2633.90000000,73955.62520000,193254331.84198100,102118
1645988400000,2022-02-27 19:00:00,ETH/USDT,2738.36000000,2748.10000000,2600.00000000,2608.23000000,84555.01940000,225220891.27942700,119226
1645984800000,2022-02-27 18:00:00,ETH/USDT,2765.38000000,2768.72000000,2730.00000000,2738.35000000,18707.32880000,51418690.79824900,34204
1645981200000,2022-02-27 17:00:00,ETH/USDT,2777.18000000,2779.73000000,2762.16000000,2765.37000000,7857.21650000,21760197.65529500,18741
1645977600000,2022-02-27 16:00:00,ETH/USDT,2809.14000000,2810.00000000,2764.28000000,2777.18000000,18567.74490000,51653970.87122400,35333
1645974000000,2022-02-27 15:00:00,ETH/USDT,2761.72000000,2821.19000000,2756.25000000,2808.77000000,29423.52700000,82236962.81944200,53608
1645970400000,2022-02-27 14:00:00,ETH/USDT,2779.42000000,2788.76000000,2747.00000000,2761.72000000,30603.31110000,84636771.38128100,47746
1645966800000,2022-02-27 13:00:00,ETH/USDT,2829.75000000,2832.39000000,2713.23000000,2779.42000000,57105.72590000,158189798.59202200,88171
1645963200000,2022-02-27 12:00:00,ETH/USDT,2820.97000000,2836.33000000,2801.06000000,2829.75000000,21659.72280000,61134920.71796300,37969
1645959600000,2022-02-27 11:00:00,ETH/USDT,2810.73000000,2832.31000000,2786.62000000,2820.97000000,24724.49350000,69536301.93803200,43076
1645956000000,2022-02-27 10:00:00,ETH/USDT,2768.38000000,2817.63000000,2758.58000000,2810.73000000,19665.27510000,54910024.72393600,40871
1645952400000,2022-02-27 09:00:00,ETH/USDT,2742.76000000,2772.00000000,2735.19000000,2768.38000000,14848.53740000,40930666.83382700,28768
1645948800000,2022-02-27 08:00:00,ETH/USDT,2736.62000000,2747.22000000,2722.37000000,2742.76000000,10512.64330000,28765597.94887600,23774
1645945200000,2022-02-27 07:00:00,ETH/USDT,2732.20000000,2745.01000000,2732.00000000,2736.62000000,10422.63580000,28558033.79552700,21566
1645941600000,2022-02-27 06:00:00,ETH/USDT,2708.72000000,2737.92000000,2708.32000000,2732.20000000,8924.42660000,24337524.02352000,21230
1645938000000,2022-02-27 05:00:00,ETH/USDT,2705.93000000,2723.51000000,2696.90000000,2708.72000000,9184.64310000,24924869.19533300,27084
